Issue_ID,Dataset,Parameter,Problem,Severity,Evidence,Required_Action,Status
ISS-C02-M01,—,M-01 (Population),Parameter marked VERIFIED (2011) but no Census 2011 CSV was downloaded. Census existence is public knowledge but no actual data file is in DATASET_REGISTER. Source 'Census 2011 + Govt of India projections' is not in SOURCE_REGISTER.,MEDIUM,PARAMETER_MASTER M-01 Source_Dataset_ID='Census 2011 + Govt of India projections' not found in SOURCE_REGISTER,"Either add SRC-CENSUS-2011 to SOURCE_REGISTER with URL censusindia.gov.in, OR downgrade M-01 to PARTIALLY VERIFIED with note that existence is public knowledge but no CSV acquired.",OPEN
ISS-C03-CPCB,DS-CPCB-NAMP (not in DATASET_REGISTER),F-12 (Air Quality PM2.5 proxy),Source SRC-CPCB-NAMP marked VERIFIED in SOURCE_REGISTER but no CPCB data file was actually downloaded. URL confirmed only. DATASET_REGISTER has no entry for CPCB. Parameter F-12 marked PARTIALLY VERIFIED is honest; the source itself overstated.,MEDIUM,SOURCE_REGISTER SRC-CPCB-NAMP Verification_Status='VERIFIED'; no CPCB file in 01_RAW_DATA/; DATASET_REGISTER has no CPCB entry,"Downgrade SRC-CPCB-NAMP Verification_Status to 'PARTIALLY VERIFIED (URL only, file not acquired)'.",OPEN
ISS-C04-WHO,—,Cross-reference for fatality rate,Source SRC-WHO-GSRRS-2023 marked VERIFIED in SOURCE_REGISTER but the WHO 2023 PDF was not actually downloaded. URL confirmed only.,MEDIUM,SOURCE_REGISTER SRC-WHO-GSRRS-2023 Verification_Status='VERIFIED'; no WHO PDF in 01_RAW_DATA/,Downgrade SRC-WHO-GSRRS-2023 to 'PARTIALLY VERIFIED (URL only)'.,OPEN
ISS-C05-TRIPC,—,Cross-reference for FIR-based findings,Source SRC-IITD-TRIPC-2024 marked VERIFIED in SOURCE_REGISTER but no TRIPC PDF was actually downloaded. URL confirmed only.,MEDIUM,SOURCE_REGISTER SRC-IITD-TRIPC-2024 Verification_Status='VERIFIED'; no TRIPC PDF in 01_RAW_DATA/,Downgrade SRC-IITD-TRIPC-2024 to 'PARTIALLY VERIFIED (URL only)'.,OPEN
ISS-C07-SANSAD,—,Cross-reference for state-wise 2020-2022,Source SRC-SANSAD-Q1612-2024 marked PARTIALLY VERIFIED. The actual question PDF was NOT downloaded — sansad.in URL structure returned 404 from CLI. Existence of the question is confirmed via web search only.,MEDIUM,SOURCE_REGISTER SRC-SANSAD-Q1612-2024 Verification_Status='PARTIALLY VERIFIED (confirmed exists via search; URL not directly downloadable from CLI)'; no PDF in 01_RAW_DATA/parliament_qs/ (only 404 HTML),Mark as 'NOT VERIFIED' or attempt browser-based download for actual acquisition. Currently no usable data from this source.,OPEN
ISS-D01-I02,DS-NCRB-2024-PDF-12-AGEGENDER,I-02 (Driver age/gender),"Parameter marked 'AVAILABLE — STATE LEVEL (PDF only)' but NCRB Table 1.2 covers ALL accidental deaths (drowning, fire, falls, railway, road, etc.) — NOT road-accident-specific. To derive road-specific age/gender, must intersect with Table 1A.4 (mode-of-transport deaths) AND assume all 'motor vehicle' deaths are road deaths. This intersection is documented but not executed.",MEDIUM,"PARAMETER_MASTER I-02 Source_Dataset_ID='NCRB-ADSI-Table-1.2'; source PDF file 10_ncrb_adsi_2024_table_12_age_gender.pdf; NCRB ADSI chapter structure: Table 1.2 covers all-cause accidental deaths, Table 1A.4 covers mode-of-transport deaths (subset)",Downgrade I-02 to 'DERIVABLE — requires intersection of NCRB Tables 1.2 × 1A.4'. Add explicit formula in Limitations. Note that intersection is documented but not executed.,OPEN
ISS-D02-A04-D04,DS-MORTH-2024-PDF-01 (full report PDF),A-04 + D-04 (Hour of day),Parameters marked 'VERIFIED (MoRTH chart 7.4) / PARTIALLY VERIFIED (NCRB PDF table)'. The MoRTH chart 7.4 is INSIDE the downloaded PDF but has NOT been extracted to machine-readable form. So the underlying value cells are not yet usable for analysis.,MEDIUM,PARAMETER_MASTER A-04 Verification='VERIFIED (MoRTH chart 7.4) / PARTIALLY VERIFIED (NCRB PDF table)'; file 01_road_accidents_in_india_2024_main_report.pdf exists (21 MB) but Chart 7.4 + Table 7.3 not extracted to CSV,Downgrade A-04 and D-04 Verification to 'PARTIALLY VERIFIED (PDF chart not yet extracted)'. Run PDF table-extraction (Camelot/Tabula) on MoRTH PDF pages 119+ and NCRB Table 1A.6 PDF before analytical use.,OPEN
ISS-E03-VAL13-CORRECTION,DS-MORTH-2024-CSV-13 (cities-fatalities-traffic-violation),O-03 (City fatalities by traffic violation),"ORIGINAL VAL-13 INCORRECTLY CLAIMED MATCH. CSV 13 has internal off-by-1: sum of 6 violation category columns = 17,186 BUT MoRTH's published Total cell = 17,187. The MoRTH cities CSV 11 published killed = 17,186 (matches column sums, not the CSV 13 Total cell). VAL-13 should be revised to flag this internal MoRTH publishing inconsistency.",MEDIUM,"Computed: 10895 + 425 + 899 + 127 + 166 + 4674 = 17,186; MoRTH CSV 13 published Total cell = 17,187; Difference = 1","Update VAL-13 Status to 'MINOR INTERNAL INCONSISTENCY in MoRTH CSV 13 published Total cell (off-by-1). Column sums match CSV 11 published killed total (17,186). Use column sums, not CSV 13 Total cell.'",OPEN
ISS-I01-OPENCITY-PRIMARY-CLASSIFICATION,DS-MORTH-2024-CSV-* (14 files) + DS-MORTH-2023-CSV-set + DS-NCRB-2024-PDF-* + DS-BTP-* + DS-TN-DISTRICTWISE + DS-KA-*,—,"Multiple datasets acquired via OpenCity.in mirror are classified as 'Primary (X) via Secondary (opencity.in mirror)' in DATASET_REGISTER Primary_or_Secondary field — this is mostly accurate. However, SOURCE_REGISTER's Primary_or_Secondary column marks the source itself as 'Primary' for SRC-MORTH-AR-2024 etc. — which is correct (MoRTH is the primary publisher) but ambiguous because the data steward in our possession is the OpenCity.in mirror, not the original MoRTH portal. The actual MoRTH morth.gov.in PDF was NOT directly downloaded by us (curl to morth.gov.in timed out at the start of the project).",MEDIUM,DATASET_REGISTER Primary_or_Secondary='Primary (X) via Secondary (opencity.in mirror)' for OpenCity-sourced files; SOURCE_REGISTER SRC-MORTH-AR-2024 Primary_or_Secondary='Primary',Clarify in SOURCE_REGISTER Limitations that the original morth.gov.in PDF was not directly downloaded; OpenCity.in mirror was used. Both contain identical content per CKAN API metadata.,OPEN
ISS-L02-ROAD-NETWORK-JOIN-REQUIRES-REGISTRATION,DS-Bhuvan (not in DATASET_REGISTER) + DS-MORTH-BS-NH,G-04 (Road feature) + P-04 (Road network vector),"JOIN of road network to accidents: would require (a) Bhuvan road vector layer (registration needed, not downloaded), (b) accident NH+km markers (only available for 13,795 blackspot list, NOT for general accidents). Cannot join general accident data to specific road segments without per-accident location.",MEDIUM,PARAMETER_MASTER G-04 Availability='AVAILABLE — INDIA LEVEL + STATE LEVEL (PDF only)'; P-04 Availability='AVAILABLE — INDIA LEVEL (Bhuvan registration required; OSM free)'; A-11 Coordinates='NOT FOUND AFTER DEEP RESEARCH',Cannot join road attributes to accidents without coordinates. Mark as INTEGRABLE (CONDITIONALLY) — requires Bhuvan registration AND accident coordinates (not public).,OPEN
ISS-L03-VEHICLE-JOIN-VIA-STATE-YEAR,DS-MORTH-2024-CSV-14 (registrations) + DS-MORTH-2024-CSV-09 (state accidents),H-02 (Registered vehicles) + C-01 (Total Accidents),"JOIN of registered-vehicle exposure to accidents: safe at India level (both published by MoRTH). State-level join NOT safe because state-wise registered-vehicle counts are NOT bulk-downloadable (VAHAN restricts). For 2023-2024, even India-level registered-vehicle data is NA.",MEDIUM,PARAMETER_MASTER M-02 Verification='VERIFIED for 2014-2022; NA for 2023-2024'; VAHAN bulk access restricted,Safe join: India-level accidents × India-level registered vehicles (year only) for 2014-2022. Unsafe: state-level accidents × state-level registered vehicles (VAHAN not bulk-available). Unsafe: any 2023-2024 analysis (registration data NA).,OPEN
ISS-O04-KARNATAKA-PDF-EXTRACTION-PENDING,DS-KA-2024 + DS-KA-2023,A-08 (District — Karnataka),"2 Karnataka state report PDFs were downloaded but district-wise tables inside have NOT been extracted. PARAMETER_MASTER A-08 mentions Karnataka as having district-level data, but the actual values are inside the PDF and not yet machine-readable.",MEDIUM,DATASET_REGISTER DS-KA-2024 Cleaning_Required='extract district-wise tables'; PDFs in 01_RAW_DATA/karnataka_state/ (5 MB + 4.5 MB),"Either (a) extract Karnataka district tables via Camelot/Tabula to CSV, OR (b) update PARAMETER_MASTER A-08 to clarify Karnataka district-level is PDF-only and not yet extracted. Currently A-08 lists Karnataka alongside Tamil Nadu — Tamil Nadu has machine-readable CSV, Karnataka does NOT.",OPEN
ISS-O05-VAHAN-BULK-NOT-AVAILABLE,—,H-02 (Registered vehicles state-wise) + M-02 (state-wise registered vehicles),"VAHAN portal (vahan.parivahan.gov.in) provides only per-vehicle form-based lookup, NOT bulk state-wise downloads. DATASET_REGISTER DS-MORTH-2024-CSV-14 has India-level registered-vehicle totals for 2014-2022 (Provisional). State-wise registered-vehicle counts are NOT in our possession.",MEDIUM,"PARAMETER_MASTER M-02 Verification='VERIFIED for 2014-2022; NA for 2023-2024'; PARAMETER_MASTER H-02 Limitations='State-wise registered-vehicle counts via VAHAN at vahan.parivahan.gov.in (form-based, not bulk)'","For state-level exposure analysis, must request VAHAN bulk access (currently restricted) OR use the dataful.in mirror (account required) OR derive from MoRTH annual Transport Report Table 20.1 (Kaggle mirror).",OPEN
ISS-G01-JK-LADAKH,DS-MORTH-2024-CSV-09 + 10,B-02 (State/UT),"MoRTH 2024 state-wise CSV uses 'J & K #' (with footnote: '# includes Ladakh for 2019 and 2020') and 'Ladakh' separately. For 2020, Ladakh value = NA (UT formed Oct 2019, data collection from 2021). For 2018-2019 trend analysis, must aggregate J&K# (pre-split) carefully.",LOW,PARAMETER_MASTER B-02 Limitations='J&K#+Ladakh separated since 2019; D&N H + Daman & Diu merged since 2020 — see GEOGRAPHY_CROSSWALK.csv'; GEOGRAPHY_CROSSWALK GC-02 documents this,Documented in GEOGRAPHY_CROSSWALK.csv. No action needed; downstream ETL must handle the J&K#+Ladakh aggregation carefully.,RESOLVED
ISS-G02-DNH-MERGER,DS-MORTH-2024-CSV-09 + 10,B-02 (State/UT),"MoRTH 2020+ state-wise CSV uses 'Dadra & Nagar Haveli and Daman & Diu' (merged UT, formed 26 Jan 2020). Pre-2020 figures list DN&H and Daman & Diu separately. For pre/post-2020 comparability, must sum DN&H + Daman & Diu.",LOW,GEOGRAPHY_CROSSWALK GC-03 documents this,Documented. No action needed; downstream ETL must sum DN&H + Daman & Diu for pre-2020 comparability.,RESOLVED
ISS-G03-CITY-SPELLINGS,DS-MORTH-2024-CSV-11 + 12 + 13,O-01 + O-02 + O-03 (City data),"MoRTH cities CSV uses non-standard city name spellings: 'Vadodra' (vs canonical 'Vadodara'), 'Khozikode' (vs 'Kozhikode'), 'Vizaq' (vs 'Visakhapatnam'), 'Thiruvanthapuram' (vs 'Thiruvananthapuram'), 'Vijaywada city' (vs 'Vijayawada City'). Cross-source joins (with state police reports) require standardisation.",LOW,DATA_CLEANING_LOG CL-12 documents this; CSV 11 row 35 = 'Vadodra'; row 25 = 'Khozikode'; row 50 = 'Vizaq'; row 44 = 'Thiruvanthapuram'; row 49 = 'Vijaywada city',Apply spelling standardisation before any cross-source join. Documented in CL-12.,RESOLVED
ISS-N03-C10-FORMULA,—,C-10 (Case Fatality Rate),"Formula: Persons Killed / (Persons Killed + Persons Injured) × 100. SUBTLE: this is NOT a true case-fatality rate because it excludes accidents with zero injuries (e.g. property-damage-only). MoRTH publishes only killed and injured counts, not 'total accident cases with zero injuries'. The formula approximates fatality among INJURY-producing accidents.",LOW,PARAMETER_MASTER C-10 Limitations='Formula = Persons Killed / (Persons Killed + Persons Injured) × 100. Reasonable proxy for severity but excludes un-injured accidents',Document the limitation more explicitly: 'Case Fatality Rate (CFR) = K/(K+I) × 100. NOTE: This is a proxy — excludes property-damage-only accidents. True CFR per accident case cannot be computed without case-level data (eDAR restricted).',OPEN
ISS-O01-DATASET-REGISTER-ROW-COUNT,DATASET_REGISTER.csv,—,"RESEARCH_COMPLETION_REPORT.md claimed '51 datasets (27 acquired + 24 documented-only)' but DATASET_REGISTER.csv actually contains 37 rows (33 Acquired=YES + 4 Acquired=NO). The 51 vs 37 discrepancy is because the report counted individual CSV files inside the MoRTH 2024 (14), MoRTH 2023 (13), NCRB ADSI 2024 (11+1), etc. as separate 'datasets' while DATASET_REGISTER bundles some into single rows (e.g. DS-MORTH-2023-CSV-set = 1 row covering 12 CSVs).",LOW,wc -l DATASET_REGISTER.csv = 38 (header + 37 rows); RESEARCH_COMPLETION_REPORT.md claims '51 datasets',Update RESEARCH_COMPLETION_REPORT.md to clarify: '37 dataset-rows in DATASET_REGISTER (covering 48 actual data files including bundled CSVs)' OR add individual rows for each CSV in DATASET_REGISTER.,OPEN
ISS-E01-VAL16,DS-MORTH-2024-CSV-02 + DS-NCRB-2024-PDF-01,C-04 (Persons Killed 2024),"VAL-16 is classified as 'DOCUMENTED CONFLICT'. This is a SOURCE CONFLICT (not a validation failure, not coverage limitation, not expected difference). MoRTH (177,175) vs NCRB (~162,500) for 2024 road fatalities — 8.3% gap. Both figures retained. Documented in SOURCE_CONFLICTS CF-01.",—,VALIDATION_REPORT VAL-16 Status='DOCUMENTED CONFLICT (not a validation failure — see SOURCE_CONFLICTS CF-01)'; SOURCE_CONFLICTS CF-01 documents the conflict with explanation,No action needed — conflict is correctly documented. NEVER merge or average MoRTH and NCRB. Both figures must be retained.,RESOLVED
ISS-E02-VAL17,DS-BTP-2023 + DS-MORTH-2024-CSV-11,C-04 (Bengaluru killed 2023),"VAL-17 is classified as 'MINOR DISCREPANCY (file-structure noise)'. This is an EXPECTED DIFFERENCE due to the BTP 2023 CSV file structure (sub-division Total rows interspersed with station rows). 5-killed gap is within rounding — not a validation failure, not a source conflict.",—,VALIDATION_REPORT VAL-17 Status='MINOR DISCREPANCY (file-structure noise)'; BTP_2023 file has interspersed Total rows documented in DATA_CLEANING_LOG CL-09,Filter sub-division Total rows precisely (CL-09) before summing BTP station-wise data. The 5-killed gap will close.,RESOLVED
ISS-H01-MORTH-OVERLAP,DS-MORTH-2024-CSV-02 + DS-MORTH-2023-CSV-set + DS-MORTH-HIST-2018-2022,C-01 + C-04 + C-05 (annual totals),"Three datasets overlap for 2020-2022 annual totals: MoRTH 2024 report CSV (with 2020-2024 trend), MoRTH 2023 report CSV (with 2019-2023 trend), and MoRTH historical CSV (with 2018-2022 trend). Validation confirmed exact match for overlapping years (2020, 2021, 2022) — see VAL-01 to VAL-06. This is not a duplicate — it's three publication vintages of the same time-series.",—,VALIDATION_REPORT VAL-01 to VAL-06 confirm exact match for 2020-2022 across all three CSVs,"No action needed — overlap is intentional (publication-vintage redundancy). For analysis, use the most recent (MoRTH 2024) CSV; older CSVs are for historical trend verification.",RESOLVED
ISS-H02-NCRB-MORTH-SCOPE,DS-NCRB-2024-PDF-01 vs DS-MORTH-2024-PDF-01,C-04 (Persons Killed),"NCRB ADSI 2024 and MoRTH 2024 cover overlapping topic (road fatalities) but different scope: MoRTH counts road-accident-only deaths (24-hour convention); NCRB counts 'accidental deaths' (broader scope including drowning, fire, falls, railway accidents) under IPC negligence causes. The 8.3% gap is documented in CF-01.",—,SOURCE_CONFLICTS CF-01,Documented. Never merge or average. Use MoRTH for road-accident-specific analysis; NCRB for broader accidental-death context.,RESOLVED
ISS-K01-AGGREGATE-NOT-CASE-LEVEL,All MoRTH + NCRB + BTP + TN datasets,All Group A (Accident Identification) parameters,"All acquired datasets contain AGGREGATE counts (state / city / district / station × year), NOT per-accident case-level records. The only source that has case-level data (eDAR-iRAD) is restricted. PARAMETER_MASTER correctly documents this in Granularity column.",—,PARAMETER_MASTER Granularity field for all Group A parameters = 'aggregate count' or 'per-state aggregate' or 'per-district aggregate' etc.; none marked as 'per-accident record',No action needed — correctly documented. Downstream analysis must respect aggregate-only constraint: cannot do per-accident regression without case-level data (would require eDAR access).,RESOLVED
ISS-M01-2025-NOT-PUBLISHED,—,All 2025 parameters,"Confirmed: neither MoRTH nor NCRB has published 2025 calendar-year report. Searches returned no 2025 report URLs. Per project brief: 'If it does not exist: record: ""2025 — NOT AVAILABLE / REPORT NOT YET PUBLISHED"". Do not create 2025 values.' Compliance verified — no 2025 values anywhere in any deliverable.",—,Searches 'MoRTH Road Accidents in India 2024 report' returned 2024 as latest; no 2025 report URL found; NCRB ADSI 2024 is the latest ADSI; 2025 ADSI not published as of search date,"No action needed — correctly handled per project brief. 2025 must remain marked as 'NOT AVAILABLE / REPORT NOT YET PUBLISHED' until official release (expected Sep-Dec 2026 for MoRTH, Dec 2026 for NCRB).",RESOLVED
ISS-N01-C08-FORMULA,—,C-08 (Fatalities per Accident),Formula: Persons Killed / Total Accidents. Correct. Yields deaths-per-accident. Range: typically 0.30-0.40 for India. For 2024: 177175/487707 = 0.363.,—,PARAMETER_MASTER C-08 Limitations='Formula = Persons Killed / Total Accidents. Safe to derive when both underlying variables are verified',Formula verified correct. Safe to derive.,RESOLVED
ISS-N02-C09-FORMULA,—,C-09 (Fatalities per 100 Accidents),Formula: (Persons Killed / Total Accidents) × 100. Correct. For 2024: 36.3 deaths per 100 accidents.,—,PARAMETER_MASTER C-09 Limitations='Formula = (Persons Killed / Total Accidents) × 100',Formula verified correct. Safe to derive.,RESOLVED
ISS-N04-D05-FORMULA,—,D-05 (Day/Night),"Formula: Aggregate NCRB 8 time-buckets into Day (06-18) vs Night (18-06). The 8 buckets are: 00-03, 03-06, 06-09, 09-12, 12-15, 15-18, 18-21, 21-24. Day = 06-09 + 09-12 + 12-15 + 15-18 (4 buckets); Night = 18-21 + 21-24 + 00-03 + 03-06 (4 buckets). Approximation since exact hour not published.",—,PARAMETER_MASTER D-05 Limitations='Aggregate the 8 NCRB time-buckets into Day (06-18) vs Night (18-06). Approximation since exact hour not published',Formula verified. Safe to derive after NCRB Table 1A.6 PDF is extracted to CSV.,RESOLVED
ISS-N05-E01-E02-E03-FORMULA,—,E-01 + E-02 + E-03 (Seasonal),Formula: Map NCRB month-wise to IMD 4-season definition. Winter=Dec-Feb; Pre-monsoon=Mar-May; Monsoon=Jun-Sep; Post-monsoon=Oct-Nov. For E-02 (binary Monsoon vs Non-Monsoon): Monsoon=Jun-Sep. For E-03 (regional season): state-specific mapping (e.g. TN NE monsoon = Oct-Dec). Requires NCRB Table 1A.5 month-wise PDF extraction.,—,PARAMETER_MASTER E-01 Limitations='IMD defines: Winter = Dec-Feb; Pre-monsoon/Summer = Mar-May; Monsoon = Jun-Sep; Post-monsoon = Oct-Nov. Derive by mapping NCRB month-wise counts. Do NOT confuse with calendar quarters',Formulas verified. Safe to derive after NCRB Table 1A.5 PDF is extracted to CSV.,RESOLVED
ISS-N06-DERIVED-NOT-COMPUTED,—,All 9 DERIVABLE parameters,"Status: 9 parameters marked DERIVABLE in PARAMETER_MASTER. Formulas are documented but values have NOT been computed in this phase. This is consistent with project scope (research foundation, not analysis). But downstream analysis phase must execute these computations.",—,"PARAMETER_MASTER: C-08, C-09, C-10, D-05, D-07, E-01, E-02, E-03, B-03 all marked DERIVABLE with formula in Limitations field",In downstream analysis phase: execute these formulas and create derived-value columns in 03_VERIFIED_DATA/ and 04_CLEAN_DATA/.,OPEN
ISS-O06-CENSUS-2021-NOT-CONDUCTED,—,M-01 (Population) — denominator for rates,"Census 2021 was NOT conducted in India (delayed due to COVID-19 and political reasons). Population denominators for 2012-2026 are Office of the Registrar General projections, NOT actual Census counts. PARAMETER_MASTER M-01 correctly documents this.",—,"PARAMETER_MASTER M-01 Limitations='Post-2011 figures are projections, not Census. Census 2021 was NOT conducted'","No action needed. For rate calculations (deaths per 100,000 population), use projections with documented uncertainty. Census 2011 is the latest actual count.",RESOLVED
